Gene,Type,Strain,Stage,Update,Antibody,Domain,Method,Date,Peaks,External_Repository,Notes
CG15436,TF,CG15436-GFP,embryonic,,ab290,,site-specific recombination,20/10/2022,3367,,E0-24
CG15514,TF,CG15514-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,6758,ENCSR800TLY,ENCODE bams
CG15601,TF,CG15601,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,6971,ENCSR237PJC,ENCODE bams
CG15696,TF,CG15696,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,4757,ENCSR186ZKW,ENCODE bams
CG15710,TF,CG15710-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,11457,ENCSR577TRI,ENCODE bams
CG15812,TF,CG15812-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,2631,ENCSR292WNJ,ENCODE bams
CG1602,TF,CG1602-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,3994,ENCSR386BKJ,ENCODE bams
CG1603,TF,CG1603,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,10086,ENCSR680NFF,ENCODE bams
CG1620,TF,CG1620-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3000,ENCSR551YOZ,ENCODE bams
CG1647,TF,CG1647-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2864,ENCSR141ZKI,ENCODE bams
CG1663,TF,CG1663-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,12580,ENCSR418KGH,ENCODE bams
CG16779,TF,CG16779-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,20/05/2021,2705,ENCSR965LOI,E8-24
CG16779,TF,CG16779-MiMIC,prepupa,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,9697,ENCSR846PTH,ENCODE bams
CG16813,TF,CG16813-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,5365,ENCSR091FCM,E0-8
CG16815,TF,CG16815-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,3317,ENCSR870KTR,ENCODE bams
CG16863,TF,CG16863-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3592,ENCSR848GYF,ENCODE bams
CG17186,TF,CG17186-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,2915,ENCSR336ZDD,ENCODE bams
CG17328,TF,CG17328-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,14/01/2022,6152,ENCSR213XWH,E0-24
CG17359,TF,CG17359,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,9524,ENCSR890AWM,ENCODE bams
CG17361,TF,CG17361-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,26/01/2021,8878,ENCSR593IEE,E0-24
CG17385,TF,CG17385-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,6084,ENCSR296MRL,ENCODE bams
CG17568,TF,CG17568-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,5650,ENCSR507PVB,ENCODE bams
CG17612,TF,CG17612-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,20/05/2021,2263,ENCSR888TLQ,E0-24
CG17801,TF,CG17801-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,5369,ENCSR588OSO,ENCODE bams
CG17802,TF,CG17802,embryonic,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,2795,ENCSR165KWP,ENCODE bams
CG17806,TF,CG17806,pupa,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,10568,ENCSR118TAH,ENCODE bams
CG17829,TF,CG17829,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,10551,ENCSR810MLF,ENCODE bams
CG1792,TF,CG1792-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2958,ENCSR247CPK,ENCODE bams
CG18011,TF,CG18011-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,2620,ENCSR515HRX,ENCODE bams
CG18262,TF,CG18262,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,12795,ENCSR143AWF,ENCODE bams
CG18476,TF,CG18476-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2932,ENCSR194LIS,ENCODE bams
CG18599,TF,CG18599-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,10966,ENCSR327ZQL,ENCODE bams
CG18764,TF,CG18764-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,3685,ENCSR957XDI,ENCODE bams
CG2116,TF,CG2116-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,5867,ENCSR456UZW,ENCODE bams
CG2120,TF,CG2120-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,25/07/2015,9274,ENCSR168XBW,ENCODE bams
CG2129,TF,CG2129-GFP,embryonic,,ab290,,site-specific recombination,30/08/2022,2067,ENCSR041HRT,E0-4
CG2199,TF,CG2199-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,14/01/2022,8129,ENCSR200OFA,E8-24
CG2202,TF,CG2202,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,4915,ENCSR183WTG,ENCODE bams
CG2678,TF,CG2678,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,11281,ENCSR709YEU,ENCODE bams
CG2712,TF,CG2712,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,10848,ENCSR443NTZ,ENCODE bams
CG2875,Protein binding,CG2875-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,2940,ENCSR082FZF,ENCODE bams
CG2889,TF,CG2889-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/03/2021,3145,ENCSR366HMN,E0-24
CG30020,TF,CG30020,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,8926,ENCSR317XOG,ENCODE bams
CG3032,TF,CG3032,prepupa,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,9450,ENCSR673MPB,ENCODE bams
CG30403,TF,CG30403-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,7949,ENCSR151WSI,ENCODE bams
CG30431,TF,CG30431-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,3478,ENCSR336HCG,ENCODE bams
CG3065,TF,CG3065-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/08/2016,2453,ENCSR101LNT,ENCODE bams
CG31224,TF,CG31224-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,19/04/2021,3815,ENCSR767ORY,E0-24
CG31365,TF,CG31365,embryonic,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,2664,ENCSR313TWF,ENCODE bams
CG31388,TF,CG31388-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,1615,ENCSR360TFL,ENCODE bams
CG31441,TF,CG31441-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,26/01/2021,7408,ENCSR511YXX,E0-16
CG31627,TF,CG31627-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,7241,ENCSR572ERS,ENCODE bams
CG3163,TF,CG3163-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4826,ENCSR648YVN,ENCODE bams
CG32006,TF,CG32006-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,11463,ENCSR059LML,ENCODE bams
CG32121,TF,CG32121-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,20/05/2021,8452,ENCSR879ZOH,WPP+2
CG32264,Protein binding,CG32264-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1922,ENCSR965GGK,ENCODE bams
CG32532,TF,CG32532-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,14/06/2021,7718,ENCSR582XIG,E8-24
CG32767,TF,CG32767-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/11/2021,4636,ENCSR745YZM,E0-24
CG32772,TF,CG32772-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,05/08/2021,5088,ENCSR797NFP,E0-24
CG3281,TF,CG3281-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,6181,ENCSR263AYM,ENCODE bams
CG33017,TF,CG33017,adult,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,3403,ENCSR360ERR,ENCODE bams
CG33213,TF,CG33213-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4884,ENCSR422PMR,ENCODE bams
