Gene,Type,Strain,Stage,Update,Antibody,Domain,Method,Date,Peaks,External_Repository,Notes
Pdp1,TF,Pdp1-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4372,ENCSR005MLL,ENCODE bams
Pif1A,Unknown,Pif1A-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,9725,ENCSR945XEH,ENCODE bams
Pif1B,Protein binding,Pif1B-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,7859,ENCSR453UOF,ENCODE bams
Plzf,TF,CG6792-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,10/04/2016,7288,ENCSR332DSH,ENCODE bams
Poxn,TF,Poxn-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,14/04/2021,1488,ENCSR804DDF,E0-24
Ptx1,TF,Ptx1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/11/2021,7439,ENCSR401EGK,E0-24
REPTOR,TF,CG13624-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,5533,ENCSR460LRT,ENCODE bams
REPTOR-BP,TF,CG18619-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,3866,ENCSR271ZJI,ENCODE bams
Rabex-5,Guanine Nucleotide Exchange Factors,CG9139-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,4453,ENCSR219AHM,ENCODE bams
Ravus,TF co-regulator,Ravus-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,14/04/2021,1653,ENCSR524LOH,E0-24
Rel,TF,Rel,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,13056,ENCSR138MDE,ENCODE bams
Rel,TF,Rel-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1628,ENCSR291KUB,ENCODE bams
Rfx,TF,Rfx-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,08/07/2021,9250,ENCSR471KCF,E0-24
RunxB,TF,RunxB-GFP,embryonic,,ab290,,site-specific recombination,01/12/2022,3500,,E6-24
Rx,TF,Rx-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,28/03/2022,3476,ENCSR065NEA,0-24
SREBP,TF,SREBP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,8499,ENCSR288BZG,ENCODE bams
Scr,TF,Scr-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,5742,ENCSR400ZYC,E0-24
Sidpn,TF,Sidpn-GFP,embryonic,,ab290,,site-specific recombination,20/10/2022,3833,,E8-24
Sidpn,TF,side-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4164,ENCSR069AWH,ENCODE bams
Sin3A,Chromatin factor,Sin3A-GFP,embryonic,,non-commercial Sin3A modENCODE antibody 1,,,27/12/2017,371,ENCSR264MBG,ENCODE bams
Sin3A,Chromatin factor,yellow_cinnabar_brown_speck,embryonic,,non-commercial Sin3A modENCODE antibody 1,,,27/12/2017,4138,ENCSR976PEM,ENCODE bams
Six4,TF,Six4-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,3674,ENCSR176PDW,ENCODE bams
Smox,TF,Smox-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,10844,ENCSR308HCJ,ENCODE bams
Snoo,TF,snoo-MiMIC,pupa,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,8119,ENCSR613JPW,ENCODE bams
Sox100B,TF,Sox100B-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,6747,ENCSR663AGU,ENCODE bams
Sox102F,TF,Sox102F-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,8314,ENCSR281ORM,ENCODE bams
Sox102F,TF,Sox102F-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,11651,ENCSR731HHO,ENCODE bams
Sox14,TF,Sox14-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,8894,ENCSR745UIJ,ENCODE bams
Sox15,TF,Sox15-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,10/04/2016,4240,ENCSR202QJA,ENCODE bams
SoxN,TF,SoxN-GFP,embryonic,,ab290,,site-specific recombination,04/12/2022,4615,,E0-24
Sp1,TF,Sp1-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,11450,ENCSR603LBA,ENCODE bams
Spps,TF,Spps,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,3213,ENCSR788JUU,ENCODE bams
Sry-beta,TF,Sry-beta-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,3248,ENCSR917WWZ,ENCODE bams
Sry-delta,TF,Sry-delta-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,9418,ENCSR648DJA,ENCODE bams
Ssrp,chromatin factor,Ssrp-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,7511,ENCSR633IKC,ENCODE bams
Stat92E,TF,Stat92E-GFP,embryonic,,ab290,,stable transfection,23/08/2016,331,ENCSR494UZY,ENCODE bams
Stat92E,TF,Stat92E-GFP,embryonic,,goat-anti-GFP-UC,,stable transfection,12/04/2019,5851,ENCSR290OJD,ENCODE bams
Su(H),TF,Su(H)-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3079,ENCSR325UBZ,ENCODE bams
Su(H),TF,Su(H)-GFP,embryonic,,sc-25761,,,24/08/2016,21750,ENCSR736AKA,ENCODE bams
Su(H),TF,yellow_cinnabar_brown_speck,embryonic,,sc-25761,,,01/09/2016,399,ENCSR175KWV,ENCODE bams
Su(var)2-10,Transferase,Suvar2-10-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,1234,ENCSR637GDK,ENCODE bams
Su(var)2-HP2,Chromatin factor,Su(var)2-HP2,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,3466,ENCSR867RUX,ENCODE bams
Su(var)205,Chromatin factor,yellow_cinnabar_brown_speck,embryonic,,PRB-291C,,,22/12/2017,400,ENCSR857XGK,ENCODE bams
Su(var)205,Chromatin factor,yellow_cinnabar_brown_speck,embryonic,,ab24726,,,22/12/2017,89,ENCSR420PGU,ENCODE bams
Su(var)205,Chromatin factor,yellow_cinnabar_brown_speck,embryonic,,ab24726,,,27/12/2017,423,ENCSR724EKO,ENCODE bams
Su(var)3-7,Chromatin factor,Su(var)3-7-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,6440,ENCSR589XWJ,ENCODE bams
Su(var)3-9,chromatin factor,yellow_cinnabar_brown_speck,embryonic,,ab4811,,,22/12/2017,4472,ENCSR964LIH,ENCODE bams
TFAM,TF,TFAM-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,1458,ENCSR869ZGG,ENCODE bams
Taf1,basal TF,Taf1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,23/03/2021,2665,ENCSR876FER,E0-24
Tbp,basal TF,13T-exd-GFP,embryonic,,non-commercial Tbp modENCODE antibody 1,,stable transfection,24/08/2016,2296,ENCSR599DVZ,ENCODE bams
TfAP-2,TF,TfAP-2-GFP,embryonic,,ab290,,site-specific recombination,02/12/2022,4611,,E6-24
Trl,TF,Trl-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4138,ENCSR629WQT,ENCODE bams
Trl,TF,yellow_cinnabar_brown_speck,embryonic,,Aviva-KW3-Trl-D2,,,15/06/2017,17037,ENCSR724XTR,ENCODE bams
Trl,TF,yellow_cinnabar_brown_speck,embryonic,,Aviva-KW3-Trl-D2,,,17/06/2017,5179,ENCSR155JVI,ENCODE bams
Usf,TF,Usf-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,2320,ENCSR032DLA,ENCODE bams
Vsx1,TF,Vsx1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,5402,ENCSR564UWC,ENCODE bams
Vsx2,TF,Vsx2-GFP,wanderingthirdinstarlarva,,ab290,,site-specific recombination,23/07/2015,2140,ENCSR816TQX,ENCODE bams
Xbp1,TF,Xbp1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/08/2016,6081,ENCSR698IEF,ENCODE bams
Xrp1,TF,Xrp1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,05/02/2021,8735,ENCSR237HBW,E8-24
YL-1,chromatin factor,YL-1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,5820,ENCSR396LMJ,ENCODE bams
ZIPIC,TF,CG7928-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,1610,ENCSR399FPR,ENCODE bams
Zif,TF,Zif-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,11250,ENCSR393VQP,ENCODE bams
ZnT49B,Membrane protein,CG8632-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,21/10/2015,6495,ENCSR896OQW,ENCODE bams
abd-A,TF,abd-A,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,14000,ENCSR609JDR,ENCODE bams
ac,TF,ac-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,3375,ENCSR240NHL,ENCODE bams
achi,TF,achi-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,8993,ENCSR959SWC,ENCODE bams
acj6,TF,acj6-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,22/10/2015,8214,ENCSR317SVS,ENCODE bams
al,TF,al-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,16/04/2021,3848,ENCSR473DHG,E0-24
amos,TF,amos-GFP,embryonic,,ab290,,site-specific recombination,28/03/2022,5860,ENCSR906BIV,0-18
aop,TF,aop-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/02/2022,1725,ENCSR308JMY,E0-24
ap,TF,ap-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,15/12/2021,3318,ENCSR806BBT,E0-24
apt,TF,apt-GFP,embryonic,,ab290,,site-specific recombination,01/12/2022,4050,,E0-24
ara,TF,ara-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,31/03/2022,5483,ENCSR283CFB,E0-24
ase,TF,ase-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/01/2021,4209,ENCSR415VUK,E0-18
ash1,chromatin factor,Ash1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,2655,ENCSR342YUI,ENCODE bams
ato,TF,ato-GFP,embryonic,,ab290,,site-specific recombination,24/08/2022,3357,ENCSR433OUV,E0-18
az2,TF,az2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/08/2016,4878,ENCSR054BLW,ENCODE bams
bab1,TF,bab1-RA_(bab1-s)-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,9473,ENCSR888UWA,ENCODE bams
bab2,TF,bab2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3674,ENCSR769SFV,ENCODE bams
bap,TF,bap-GFP,embryonic,,ab290,,site-specific recombination,26/01/2023,4890,,E0-18
bbx,TF,bbx-GFP,embryonic,,ab290,,site-specific recombination,28/03/2022,5799,ENCSR959LNN,0-24
bcd,TF,1T-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,4728,ENCSR167BID,ENCODE bams
bigmax,TF,bigmax-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,2029,ENCSR224YOT,ENCODE bams
bin,TF,bin-GFP,embryonic,,ab290,,site-specific recombination,23/02/2023,3424,,E0-24
bowl,TF,bowl-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/01/2021,2198,ENCSR163NNI,E0-24
br,TF,br-re-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1841,ENCSR295GRP,ENCODE bams
br,TF,br-rj-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,6964,ENCSR824RLH,ENCODE bams
br,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial br modENCODE antibody 1,,,24/08/2016,1021,ENCSR909WNS,ENCODE bams
brk,TF,brk-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,6685,ENCSR200GOV,ENCODE bams
bs,TF,bs-GFP,embryonic,,ab290,,site-specific recombination,25/10/2022,3203,,E0-24
bsh,TF,bsh-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,10656,ENCSR310ZJI,ENCODE bams
bsh,TF,bsh-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,5894,ENCSR450HPD,ENCODE bams
btn,TF,btn-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1785,ENCSR805JGA,ENCODE bams
cad,TF,Cad-GFP-7T,embryonic,,non-commercial eGFP modENCODE antibody 1,,stable transfection,17/06/2017,2237,ENCSR004VNY,ENCODE bams
cas,TF,cas-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,19/04/2021,2237,ENCSR260CTM,E0-24
cato,TF,cato-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,09/04/2016,2466,ENCSR247ZVM,ENCODE bams
caup,TF,caup-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,5220,ENCSR239MPW,ENCODE bams
cbt,TF,cbt-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/10/2021,4724,ENCSR440JLG,E0-24
cg,TF,cg-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,16984,ENCSR766CLL,ENCODE bams
chif,DNA replication,chif-RA-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3011,ENCSR949XGL,ENCODE bams
chif,DNA replication,chif-RB-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,5588,ENCSR032CDC,ENCODE bams
chinmo,TF,chinmo-GFP,embryonic,,ab290,,site-specific recombination,23/08/2022,13848,ENCSR294JDU,E6-24
chm,Transferase,chm-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/02/2022,6176,ENCSR611XWP,E0-24
chn,TF,chn-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3845,ENCSR248JJL,ENCODE bams
ci,TF,ci-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,31/01/2022,10662,ENCSR677VHK,E0-24
cic,TF,cic-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,10576,ENCSR073PHL,ENCODE bams
cnc,TF,cnc-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,3620,ENCSR360YKV,ENCODE bams
cnc,TF,yellow_cinnabar_brown_speck,adult,,KW0-CNC,,,22/08/2016,3884,ENCSR504XNN,ENCODE bams
cnc,TF,yellow_cinnabar_brown_speck,adult,,KW0-CNC,,,22/08/2016,635,ENCSR785GVH,ENCODE bams
corto,chromatin factor?,corto-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1904,ENCSR166XCH,ENCODE bams
crc,TF,crc-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1932,ENCSR273JZM,ENCODE bams
croc,TF,croc-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,15/10/2020,3650,ENCSR914YIP,E0-18
crol,TF,crol-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/01/2022,10064,ENCSR646UNP,E0-24
crp,TF,crp-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,1093,ENCSR279HMO,ENCODE bams
crp,TF,crp-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,6341,ENCSR121SPZ,ENCODE bams
cwo,TF,cwo-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,9405,ENCSR900TNL,ENCODE bams
cyc,TF,cyc-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,6929,ENCSR007HUT,ENCODE bams
da,TF,da-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1717,ENCSR416MJQ,ENCODE bams
dac,TF,dac-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,3638,ENCSR851UBK,ENCODE bams
dan,TF,dan-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,20/05/2021,1396,ENCSR562UCW,E0-8
danr,TF,danr-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/11/2020,2799,ENCSR098MLT,E0-24
dati,TF,dati-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,28/03/2022,1915,ENCSR730OSA,Aug-24
dimm,TF,dimm-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/12/2021,1942,ENCSR445JGO,0-24
disco-r,TF,disco-r-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1784,ENCSR532YPP,ENCODE bams
dl,TF,dl-small-GFP,wanderingthirdinstarlarva,,ab290,,site-specific recombination,23/07/2015,3020,ENCSR484YRI,ENCODE bams
dmrt11E,TF,dmrt11E-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,8403,ENCSR365IMJ,ENCODE bams
dmrt93B,TF,dmrt93B-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,4160,ENCSR900SLE,ENCODE bams
dmrt99B,TF,dmrt99B-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/12/2018,11060,ENCSR948EEN,ENCODE bams
dpn,TF,dpn-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/08/2016,5881,ENCSR722RUT,ENCODE bams
dpn,TF,dpn-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,4909,ENCSR339ZDU,ENCODE bams
drm,TF,drm-GFP,embryonic,,ab290,,site-specific recombination,28/01/2023,5936,,E0-24
dsf,TF,dsf-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,4095,ENCSR229DNL,ENCODE bams
dsx,TF,dsx-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,13873,ENCSR128VHN,ENCODE bams
dve,TF,dve-GFP,embryonic,,ab290,,site-specific recombination,22/02/2023,7011,,E0-24
dysf,TF,dysf-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/07/2021,7959,ENCSR522KTT,E8-24
eg,TF,eg-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,14/01/2022,11724,ENCSR552DCE,2
elB,basal TF,elB-GFP,embryonic,,ab290,,site-specific recombination,24/01/2023,8564,,E0-24
emc,TF,emc-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1698,ENCSR603QIJ,ENCODE bams
ems,TF,16T-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3564,ENCSR771CMI,ENCODE bams
en,TF,3T-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2790,ENCSR952TDU,ENCODE bams
erm,TF,erm-GFP,embryonic,,ab290,,site-specific recombination,24/08/2022,3484,,E0-24
esg,TF,esg-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/03/2021,4419,ENCSR428CQN,E0-24
esn,Protein binding,esn-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,13700,ENCSR978CMG,ENCODE bams
eve,TF,5T-GFP,embryonic,,non-commercial eGFP modENCODE antibody 1,,site-specific recombination,15/06/2017,516,ENCSR550SQH,ENCODE bams
eve,TF,5T-GFP,embryonic,,non-commercial eGFP modENCODE antibody 1,,site-specific recombination,15/06/2017,8496,ENCSR235MSK,ENCODE bams
ewg,TF,ewg-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,5605,ENCSR444JKK,ENCODE bams
exex,TF,exex,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,12158,ENCSR974OVB,ENCODE bams
ey,TF,ey-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,6319,ENCSR855AGQ,ENCODE bams
eyg,TF,eyg-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2318,ENCSR504JFN,ENCODE bams
fd102C,TF,fd102C-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,1698,ENCSR498KAT,ENCODE bams
fd19B,TF,fd19B-GFP,embryonic,,ab290,,site-specific recombination,24/01/2023,4440,,E0-4
fd3F,TF,fd3F-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,3918,ENCSR122VFA,ENCODE bams
fd59A,TF,fd59A-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,4612,ENCSR870BBY,ENCODE bams
fd96Ca,TF,fd96Ca-GFP,pupa,,goat-anti-GFP-UC,,site-specific recombination,04/01/2021,8373,ENCSR319PSC,WPP+1
fd96Cb,TF,fd96Cb,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,5341,ENCSR796DJB,ENCODE bams
fkh,TF,fkh-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,10553,ENCSR786ALB,ENCODE bams
foxo,TF,foxo-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,806,ENCSR548EHZ,ENCODE bams
foxo,TF,foxo-MiMIC-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,10/04/2016,9132,ENCSR985TNB,ENCODE bams
fru,TF,fru-MiMIC-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,9064,ENCSR631PLV,ENCODE bams
fru,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial fru modENCODE antibody 1,,,01/09/2016,594,ENCSR069DFE,ENCODE bams
ftz-f1,TF,ftz-f1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/10/2015,8011,ENCSR741KZZ,ENCODE bams
gce,TF,gce-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,22/12/2021,3770,ENCSR865KPF,Aug-24
gcm,TF,gcm-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,8601,ENCSR776VNR,ENCODE bams
gcm2,TF,gcm2-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3223,ENCSR407MOM,ENCODE bams
gem,TF,gem,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,15132,ENCSR469KTM,ENCODE bams
gfzf,TF,gfzf-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,8376,ENCSR621PCK,ENCODE bams
gl,TF,gl,pupa,,goat-anti-GFP-UC,,site-specific recombination,29/05/2018,6896,ENCSR472URU,ENCODE bams
grau,TF,grau,embryonic,,goat-anti-GFP-UC,,site-specific recombination,17/06/2019,12281,ENCSR199FME,ENCODE bams
grh,TF,grh-GFP,wanderingthirdinstarlarva,,ab290,,site-specific recombination,23/07/2015,3195,ENCSR677CBX,ENCODE bams
grn,TF,grn-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,7724,ENCSR909QHH,ENCODE bams
gro,TF co-regulator,gro-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,6323,ENCSR981DLO,ENCODE bams
gsb,TF,gsb-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,06/07/2021,2888,ENCSR103OZL,E0-18
gsb-n,TF,gsb-n,embryonic,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,6186,ENCSR414EAT,ENCODE bams
gt,TF,gt-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,07/06/2022,1861,ENCSR944GCA,E0-18
h,TF,15T-GFP,wanderingthirdinstarlarva,gene is hry,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,10176,ENCSR461AXL,ENCODE bams
h,TF,h-GFP,embryonic,"strain is 15T-GFP, gene is hry",Aviva-KW3-h-D1,,,24/08/2016,15569,ENCSR890MZY,ENCODE bams
ham,TF,ham-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,20/05/2021,1495,ENCSR473WNJ,E0-24
hb,TF,hb-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,3779,ENCSR391EHB,E0-24
hbn,TF,hbn-GFP,embryonic,,ab290,,site-specific recombination,01/08/2022,3735,ENCSR029JYB,E0-18
her,TF,her-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,5946,ENCSR505XFU,ENCODE bams
hkb,TF,hkb-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/11/2021,7220,ENCSR502VRR,E0-24
hkb,TF,yellow_cinnabar_brown_speck,embryonic,,Aviva-KW3-hkb-D1,,,15/06/2017,2259,ENCSR692JFG,ENCODE bams
hng1,TF,CG9437-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,4270,ENCSR965XSS,ENCODE bams
hng2,TF,CG8359-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/12/2016,1610,ENCSR335WXQ,ENCODE bams
hth,TF,yellow_cinnabar_brown_speck,embryonic,,non-commercial hth modENCODE antibody 1,,,16/06/2017,3627,ENCSR249JVE,ENCODE bams
ind,TF,ind-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,5354,ENCSR486EPD,ENCODE bams
insv,TF,insv-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,11/09/2017,6482,ENCSR492KRE,ENCODE bams
insv,TF,insv-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,925,ENCSR713PDJ,ENCODE bams
insv,TF,insv-GFP,embryonic,,non-commercial insv modENCODE antibody 1,,,24/08/2016,14719,ENCSR989SYT,ENCODE bams
inv,TF,inv-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,3406,ENCSR126PUC,E0-24
jigr1,TF,jigr1-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,02/12/2020,2350,ENCSR543DKH,E0-24
jim,TF,jim-GFP,wanderingthirdinstarlarva,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,1764,ENCSR978WED,ENCODE bams
jing,TF,jing-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,5126,ENCSR749USJ,ENCODE bams
jumu,TF,jumu-MiMIC-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,3507,ENCSR946VDB,ENCODE bams
kay,TF,kay-GFP,adult,,goat-anti-GFP-UC,,site-specific recombination,23/07/2015,3420,ENCSR269HHK,ENCODE bams
kay,TF,kay-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,10/04/2016,4330,ENCSR172KOI,ENCODE bams
ken,TF,ken-GFP,embryonic,,ab290,,site-specific recombination,07/06/2022,2356,ENCSR981TIE,E0-24
ken,TF,ken-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,28/03/2022,5335,ENCSR642CTA,0-24
